,reef_id,average_bleaching,clim_sst,latitude,longitude,year,yellowfin_tuna_sum_effort,yellowfin_tuna_rate_norm,mackerel_sum_effort,mackerel_rate_norm,skipjack_tuna_sum_effort,skipjack_tuna_rate_norm
37,119.37.26E.0.5.29N,2.5,302.26,0.091388889,119.6238889,2003,163.2165868,0.516056619,163.2165868,0.000157459,163.2165868,0.008295113
38,119.46.44E.0.44.8S,0,262.15,-0.735555556,119.7788889,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
39,119.46.44E.0.44.8S,0,262.15,-0.735555556,119.7788889,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
40,119.46.44E.0.44.8S,0,262.15,-0.735555556,119.7788889,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
41,119.46.44E.0.44.8S,1.25,262.15,-0.735555556,119.7788889,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
42,119.51.16E.0.43.35.1S,1.75,262.15,-0.726416667,119.8544444,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
43,119.51.16E.0.43.35.1S,0,262.15,-0.726416667,119.8544444,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
44,119.51.21.1E.0.44.51.8S,0,262.15,-0.747722222,119.8558611,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
45,119.51.21.1E.0.44.51.8S,0,262.15,-0.747722222,119.8558611,2003,163.2165868,0.007987546,163.2165868,0.000157459,163.2165868,0.079406758
46,119.61657E.0.08918N,0.25,302.23,0.089166667,119.6165833,2003,163.2165868,0.516056619,163.2165868,0.000157459,163.2165868,0.008295113
47,119.61657E.0.08918N,2,302.23,0.089166667,119.6165833,2003,163.2165868,0.516056619,163.2165868,0.000157459,163.2165868,0.008295113
48,119.80578E.0.14656S,2,262.15,-0.146555556,119.8057778,2003,163.2165868,0.005530688,163.2165868,0.000157459,163.2165868,0.057546847
49,119.80578E.0.14656S,1.25,262.15,-0.146555556,119.8057778,2003,163.2165868,0.005530688,163.2165868,0.000157459,163.2165868,0.057546847
50,119.80838E.0.13988N,0,302.51,0.139888889,119.8083889,2003,163.2165868,0.516056619,163.2165868,0.000157459,163.2165868,0.008295113
51,119.80838E.0.13988N,0,302.51,0.139888889,119.8083889,2003,163.2165868,0.516056619,163.2165868,0.000157459,163.2165868,0.008295113
52,121.35.26E.0.49.52S,0,303.34,-0.831111111,121.5905556,2003,163.2165868,0.060599233,163.2165868,0.00176759,163.2165868,0.014906573
53,121.35.26E.0.49.52S,0,303.34,-0.831111111,121.5905556,2003,163.2165868,0.060599233,163.2165868,0.00176759,163.2165868,0.014906573
54,121.40.04E.0.51.12S,0,303.16,-0.853333333,121.6677778,2003,163.2165868,0.060599233,163.2165868,0.00176759,163.2165868,0.014906573
55,121.40.04E.0.51.12S,0,303.16,-0.853333333,121.6677778,2003,163.2165868,0.060599233,163.2165868,0.00176759,163.2165868,0.014906573
56,121.59269E.0.83899S,0,262.15,-0.839,121.5926944,2003,163.2165868,0.060599233,163.2165868,0.00176759,163.2165868,0.014906573
57,121.59269E.0.83899S,0,262.15,-0.839,121.5926944,2003,163.2165868,0.060599233,163.2165868,0.00176759,163.2165868,0.014906573
58,121.62116E.0.81102S,0.25,262.15,-0.811027778,121.6211667,2003,163.2165868,0.060599233,163.2165868,0.00176759,163.2165868,0.014906573
