"","reef_id","average_bleaching","clim_sst","latitude","longitude","year","distance_to_nearest_catch","sum_effort","rate_norm"
"1","103.10.28.1E.10.50.46.1N",0,302.93,10.84613889,103.1744722,2003,5.26857059787029,163.21658675894,0.0465118169099574
"2","103.11.35.5E.10.49.32N",0,303.16,10.82555556,103.1931944,2003,5.24146578342722,163.21658675894,0.0465118169099574
"3","103.11.79.5E.10.48.2.7N",0,303.04,10.80075,103.1965833,2003,5.21816657518126,163.21658675894,0.0465118169099574
"4","103.4.16.8E.11.3.36.2N",0,302.88,11.06005556,103.0713333,2003,5.50562346877951,163.21658675894,0.0465118169099574
"5","103.4.63.9E.11.3.58.3N",0,262.15,11.06619444,103.0773056,2003,5.50808716703705,163.21658675894,0.0465118169099574
"6","103.5.55.5E.10.53.48.5N",0,302.5,10.89680556,103.09875,2003,5.349946586177,163.21658675894,0.0465118169099574
"7","102.40.2.9E.5.56.28.4N",1,303.57,5.941222222,102.6674722,2003,2.67343187643886,163.21658675894,0.454263267430685
"8","102.40.2.9E.5.56.28.4N",0.75,303.57,5.941222222,102.6674722,2003,2.67343187643886,163.21658675894,0.454263267430685
"9","102.43.23.4E.5.55.53.7N",0.5,303.35,5.931583333,102.7231667,2003,2.61714393295675,163.21658675894,0.454263267430685
"10","102.43.23.4E.5.55.53.7N",0.5,303.35,5.931583333,102.7231667,2003,2.61714393295675,163.21658675894,0.454263267430685
"11","102.45.30.3E.5.55.23.7N",2,303.66,5.92325,102.7584167,2003,2.58094031378854,163.21658675894,0.454263267430685
"12","102.45.30.3E.5.55.23.7N",2.125,303.66,5.92325,102.7584167,2003,2.58094031378854,163.21658675894,0.454263267430685
"13","103.01.41E.5.45.44N",0,262.15,5.762222222,103.0280556,2003,2.28022115624822,163.21658675894,0.454263267430685
"14","103.01.41E.5.45.44N",0,262.15,5.762222222,103.0280556,2003,2.28022115624822,163.21658675894,0.454263267430685
"15","103.02.02E.5.46.38N",0,301.79,5.777222222,103.0338889,2003,2.27796217679615,163.21658675894,0.454263267430685
"16","103.02.04E.5.46.10N",1,301.79,5.769444444,103.0344444,2003,2.27563379019864,163.21658675894,0.454263267430685
"17","103.02.08E.5.46.07N",0,301.79,5.768611111,103.0355556,2003,2.27436177534359,163.21658675894,0.454263267430685
"18","103.02.08E.5.46.58N",0,301.79,5.782777778,103.0355556,2003,2.27763389538837,163.21658675894,0.454263267430685
"19","103.03.08E.5.46.04N",1.75,301.79,5.767777778,103.0522222,2003,2.25794620962578,163.21658675894,0.454263267430685
"20","103.03.08E.5.46.04N",0,301.79,5.767777778,103.0522222,2003,2.25794620962578,163.21658675894,0.454263267430685
"21","103.03.33E.5.46.26N",0,302.31,5.773888889,103.0591667,2003,2.25260074500709,163.21658675894,0.454263267430685
"22","103.03.33E.5.46.26N",0,302.31,5.773888889,103.0591667,2003,2.25260074500709,163.21658675894,0.454263267430685
"23","103.10.93.3E.10.50.20.1N",0,302.93,10.83891667,103.1822222,2003,5.25848257906943,163.21658675894,0.0465118169099574
"24","103.5.12.2E.11.3.7.3N",12.5,262.15,11.05202778,103.0867222,2003,5.49113098003176,163.21658675894,0.0465118169099574
"25","117.12.1E.7.22.67N",25,302.95,7.377833333,117.2016667,2003,3.1282067493877,163.21658675894,9.21624713437776
"26","117.13.33E.7.22.36N",10,262.15,7.372666667,117.2221667,2003,3.12279070796968,163.21658675894,9.21624713437776
"27","117.16.65E.7.18.0N",77.5,262.15,7.3,117.2775,2003,3.05012397289028,163.21658675894,9.21624713437776
"28","117.17.48E.7.11.39N",10,303.01,7.194166667,117.2966667,2003,2.94453649051303,163.21658675894,9.21624713437776
"29","117.17.6.2E.7.21.6.6N",0,302.83,7.351833333,117.2850556,2003,3.10203141840976,163.21658675894,9.21624713437776
"30","117.17.72E.7.13.94N",0,302.98,7.232333333,117.2953333,2003,2.98267786011359,163.21658675894,9.21624713437776
"31","117.17.72E.7.13.94N",0,302.98,7.232333333,117.2953333,2003,2.98267786011359,163.21658675894,9.21624713437776
"32","117.19.27E.7.17.06N",0,302.81,7.284333333,117.3211667,2003,3.03516778365608,163.21658675894,9.21624713437776
"33","117.19.5E.7.22.52N",0,302.69,7.375333333,117.325,2003,3.12623310748909,163.21658675894,9.21624713437776
"34","117.20.61E.7.23.6N",5,302.69,7.393333333,117.3435,2003,3.14472362733975,163.21658675894,9.21624713437776
"35","117.20.82E.7.20.83N",5,302.7,7.347166667,117.347,2003,3.09868526365229,163.21658675894,9.21624713437776
"36","117.20.9E.7.15.62N",0,302.81,7.260333333,117.3483333,2003,3.01193894587187,163.21658675894,9.21624713437776
"37","117.21.2E.7.23.38N",22.5,302.69,7.389666667,117.3533333,2003,3.14136666926352,163.21658675894,9.21624713437776
"38","117.21.33E.7.20.33N",25,302.7,7.338833333,117.3555,2003,3.09063449942757,163.21658675894,9.21624713437776
"39","117.22.53E.7.15.99N",1.25,302.74,7.2665,117.3755,2003,3.01910955415666,163.21658675894,9.21624713437776
"40","119.36.51E.0.5.40N",2.25,302.23,0.094444444,119.6141667,2003,0.20651444596289,163.21658675894,0.516056619443958
"41","119.36.51E.0.5.40N",3.75,302.23,0.094444444,119.6141667,2003,0.20651444596289,163.21658675894,0.516056619443958
"42","119.37.24.5E.0.5.6.8N",1.25,302.26,0.085222222,119.6234722,2003,0.207752257016521,163.21658675894,0.516056619443958
"43","119.37.24.5E.0.5.6.8N",1,302.26,0.085222222,119.6234722,2003,0.207752257016521,163.21658675894,0.516056619443958
